"""TOA5"",""SVRI_AB"",""CR1000"",""56897"",""CR1000.Std.29"",""CPU:SVRI_2018_AB.CR1"",""47300"",""Load_Cell_60min_AB"""
"""TIMESTAMP"",""RECORD"",""load_cell_A"",""load_cell_B"""
"""TS"",""RN"","""","""""
""""","""",""Smp"",""Smp"""
"""2018-06-19 16:00:00"",148,1322,1328"
"""2018-06-19 17:00:00"",149,1322,1328"
"""2018-06-19 18:00:00"",150,1323,1328"
"""2018-06-19 19:00:00"",151,1324,1330"
"""2018-06-19 20:00:00"",152,1326,1332"
"""2018-06-19 21:00:00"",153,1329,1335"
"""2018-06-19 22:00:00"",154,1331,1337"
"""2018-06-19 23:00:00"",155,1332,1338"
"""2018-06-20 00:00:00"",156,1333,1339"
"""2018-06-20 01:00:00"",157,1334,1340"
"""2018-06-20 02:00:00"",158,1335,1340"
"""2018-06-20 03:00:00"",159,1335,1340"
"""2018-06-20 04:00:00"",160,1335,1341"
"""2018-06-20 05:00:00"",161,1335,1341"
"""2018-06-20 06:00:00"",162,1335,1341"
"""2018-06-20 07:00:00"",163,1335,1341"
"""2018-06-20 08:00:00"",164,1333,1339"
"""2018-06-20 09:00:00"",165,1331,1337"
"""2018-06-20 10:00:00"",166,1329,1334"
"""2018-06-20 11:00:00"",167,1327,1333"
"""2018-06-20 12:00:00"",168,1325,1331"
"""2018-06-20 13:00:00"",169,1325,1330"
"""2018-06-20 14:00:00"",170,1324,1329"
"""2018-06-20 15:00:00"",171,1324,1328"
"""2018-06-20 16:00:00"",172,1323,1328"
"""2018-06-20 17:00:00"",173,1324,1329"
"""2018-06-20 18:00:00"",174,1324,1330"
"""2018-06-20 19:00:00"",175,1325,1331"
"""2018-06-20 20:00:00"",176,1328,1334"
"""2018-06-20 21:00:00"",177,1331,1336"
"""2018-06-20 22:00:00"",178,1332,1338"
"""2018-06-20 23:00:00"",179,1333,1339"
"""2018-06-21 00:00:00"",180,1334,1340"
"""2018-06-21 01:00:00"",181,1335,1341"
"""2018-06-21 02:00:00"",182,1335,1341"
"""2018-06-21 03:00:00"",183,1336,1342"
"""2018-06-21 04:00:00"",184,1336,1342"
"""2018-06-21 05:00:00"",185,1336,1342"
"""2018-06-21 06:00:00"",186,1336,1342"
"""2018-06-21 07:00:00"",187,1335,1342"
"""2018-06-21 08:00:00"",188,1334,1340"
"""2018-06-21 09:00:00"",189,1332,1338"
"""2018-06-21 10:00:00"",190,1330,1335"
"""2018-06-21 11:00:00"",191,1327,1333"
"""2018-06-21 12:00:00"",192,1326,1331"
"""2018-06-21 13:00:00"",193,1325,1330"
"""2018-06-21 14:00:00"",194,1324,1329"
"""2018-06-21 15:00:00"",195,1323,1328"
"""2018-06-21 16:00:00"",196,1322,1328"
"""2018-06-21 17:00:00"",197,1322,1327"
"""2018-06-21 18:00:00"",198,1322,1328"
"""2018-06-21 19:00:00"",199,1323,1328"
"""2018-06-21 20:00:00"",200,1325,1331"
"""2018-06-21 21:00:00"",201,1328,1334"
"""2018-06-21 22:00:00"",202,1330,1336"
"""2018-06-21 23:00:00"",203,1331,1337"
"""2018-06-22 00:00:00"",204,1332,1338"
"""2018-06-22 01:00:00"",205,1332,1338"
"""2018-06-22 02:00:00"",206,1333,1339"
"""2018-06-22 03:00:00"",207,1334,1339"
"""2018-06-22 04:00:00"",208,1334,1340"
"""2018-06-22 05:00:00"",209,1334,1340"
"""2018-06-22 06:00:00"",210,1334,1340"
"""2018-06-22 07:00:00"",211,1333,1340"
"""2018-06-22 08:00:00"",212,1332,1338"
"""2018-06-22 09:00:00"",213,1329,1335"
"""2018-06-22 10:00:00"",214,1326,1332"
"""2018-06-22 11:00:00"",215,1325,1330"
"""2018-06-22 12:00:00"",216,1324,1329"
"""2018-06-22 13:00:00"",217,1323,1328"
"""2018-06-22 14:00:00"",218,1322,1328"
"""2018-06-22 15:00:00"",219,1322,1327"
"""2018-06-22 16:00:00"",220,1320,1325"
"""2018-06-22 17:00:00"",221,1320,1325"
"""2018-06-22 18:00:00"",222,1321,1326"
"""2018-06-22 19:00:00"",223,1321,1327"
"""2018-06-22 20:00:00"",224,1323,1329"
"""2018-06-22 21:00:00"",225,1326,1332"
"""2018-06-22 22:00:00"",226,1328,1334"
"""2018-06-22 23:00:00"",227,1329,1335"
"""2018-06-23 00:00:00"",228,1330,1336"
